,fips,cbp_total_employees,cbp_total_establishments
114889,8075,5073,569
115141,8077,54402,4560
115997,8079,197,68
116033,8081,3366,389
116223,8083,6527,764
116549,8085,12795,1291
116999,8087,10936,709
117285,8089,4299,403
117457,8091,1326,301
117603,8093,1598,491
117791,8095,1073,136
117873,8097,18129,1633
118264,8099,2988,337
118430,8101,51786,3212
119111,8103,1842,196
119215,8105,2504,351
119394,8107,14822,1780
119863,8109,1003,132
119935,8111,222,70
119964,8113,5522,664
120197,8115,434,68
120232,8117,22640,2305
120733,8119,6194,777
121014,8121,514,110
121074,8123,91965,6602
122030,8125,2451,359
122196,8999,139611,811
122407,9001,422988,26947
123729,9003,461158,22701
125031,9005,52519,4693
125872,9007,63621,4215
126710,9009,343018,19355
128002,9011,107959,5924
128863,9013,27887,2405
129436,9015,30243,2111
130005,9999,28948,565
130178,10001,54277,3793
130962,10003,275091,16235
132162,10005,74351,5777
133014,10999,9691,337
133124,11001,528826,23993
134105,12001,100237,6295
135034,12003,5759,398
135208,12005,59187,4673
136027,12007,4468,430
136211,12009,189379,14516
137344,12011,733082,62337
138850,12013,1761,183
138938,12015,39400,4079
139665,12017,30318,2772
140301,12019,44049,3993
140985,12021,136239,12563
142029,12023,19182,1403
142488,12027,5729,490
142689,12029,1334,187
142791,12031,461408,26277
144082,12033,113336,6943
145042,12035,18774,2269
145576,12037,2188,317
145727,12039,8384,658
145983,12041,1879,248
146113,12043,909,119
146171,12045,1691,305
146322,12047,1696,169
146413,12049,4614,400
146592,12051,6758,625
146834,12053,37090,3434
147525,12055,20941,1959
148063,12057,628921,38343
149451,12059,1788,266
149582,12061,47529,4409
150351,12063,9643,797
150662,12065,1558,252
150780,12067,615,98
150830,12069,87243,7659
151783,12071,232778,19540
152954,12073,103869,7721
153862,12075,6162,762
154142,12077,1032,83
154185,12079,2888,295
154331,12081,107967,9512
155372,12083,89254,7360
156298,12085,62750,5784
157179,12086,995962,86855
158789,12087,31744,3829
159483,12089,19531,1948
160009,12091,63186,5528
160805,12093,7440,836
161116,12095,772591,39740
162494,12097,87036,6835
163354,12099,550168,49958
164764,12101,104038,10158
165779,12103,399445,29449
167151,12105,195939,12161
168283,12107,12733,1234
168670,12109,64619,6804
169566,12111,65928,6124
170453,12113,28587,2933
