"fips', 'county_zip_file_name', 'roads_length', 'intersections","NA","NA","NA"
"01001","tl_2014_01001_roads.zip","2870571.2964637","5849"
"01003","tl_2014_01003_roads.zip","7027417.07513583","19605"
"01005","tl_2014_01005_roads.zip","2114886.11403201","3353"
"01007","tl_2014_01007_roads.zip","2362437.5479122","5105"
"01009","tl_2014_01009_roads.zip","2688469.49828751","4828"
"01011","tl_2014_01011_roads.zip","1364299.01283456","1916"
"01013","tl_2014_01013_roads.zip","2871001.09097533","4685"
"01015","tl_2014_01015_roads.zip","4269773.70326053","14232"
"01017","tl_2014_01017_roads.zip","3034749.61280891","6025"
"01019","tl_2014_01019_roads.zip","2897116.60881946","7312"
"01021","tl_2014_01021_roads.zip","2363949.38981709","3742"
"01023","tl_2014_01023_roads.zip","2423439.81951497","3777"
"01025","tl_2014_01025_roads.zip","3021613.62799743","5744"
"01027","tl_2014_01027_roads.zip","2034758.50065906","2871"
"01029","tl_2014_01029_roads.zip","1797640.69589294","2866"
"01031","tl_2014_01031_roads.zip","2215829.61021236","3862"
"01033","tl_2014_01033_roads.zip","2644612.8093914","8416"
"01035","tl_2014_01035_roads.zip","3110230.75928349","5266"
"01037","tl_2014_01037_roads.zip","2068802.46473333","3585"
"01039","tl_2014_01039_roads.zip","4155203.99105092","7567"
"01041","tl_2014_01041_roads.zip","1902279.70334657","2877"
"01043","tl_2014_01043_roads.zip","3807745.49524276","7861"
"01045","tl_2014_01045_roads.zip","2576633.0026207","7656"
"01047","tl_2014_01047_roads.zip","4296019.33348168","9735"
"01049","tl_2014_01049_roads.zip","4160406.4725252","8783"
"01051","tl_2014_01051_roads.zip","3015963.7612884","6662"
"01053","tl_2014_01053_roads.zip","3677478.1062338","6914"
"01055","tl_2014_01055_roads.zip","3278609.84263908","8341"
"01057","tl_2014_01057_roads.zip","1976647.96585984","3284"
"01059","tl_2014_01059_roads.zip","2313043.18820102","5139"
"01061","tl_2014_01061_roads.zip","2301939.38604978","4521"
"01063","tl_2014_01063_roads.zip","1732316.3636496","2903"
"01065","tl_2014_01065_roads.zip","1529312.64855831","1953"
"01067","tl_2014_01067_roads.zip","2367729.44417131","3946"
"01069","tl_2014_01069_roads.zip","3017352.63756786","6525"
"01071","tl_2014_01071_roads.zip","2973082.63838819","5453"
"01073","tl_2014_01073_roads.zip","11407598.2133218","50018"
"01075","tl_2014_01075_roads.zip","2306405.9051903","3451"
"01077","tl_2014_01077_roads.zip","4949793.09171405","12583"
"01079","tl_2014_01079_roads.zip","2325488.59279426","3304"
"01081","tl_2014_01081_roads.zip","4704877.56518928","17223"
"01083","tl_2014_01083_roads.zip","3558977.75897141","7771"
"01085","tl_2014_01085_roads.zip","1813415.30245615","3167"
"01087","tl_2014_01087_roads.zip","1793333.44571961","3495"
"01089","tl_2014_01089_roads.zip","7667495.87633743","41096"
"01091","tl_2014_01091_roads.zip","2523269.7897653","3811"
"01093","tl_2014_01093_roads.zip","2520754.12971961","4949"
"01095","tl_2014_01095_roads.zip","3193251.26209725","6825"
"01097","tl_2014_01097_roads.zip","11268674.6283087","59054"
"01099","tl_2014_01099_roads.zip","2669105.18731208","4024"
"01101","tl_2014_01101_roads.zip","3856473.52492831","10536"
"01103","tl_2014_01103_roads.zip","3055390.53919145","6843"
"01105","tl_2014_01105_roads.zip","1631491.81309673","2359"
"01107","tl_2014_01107_roads.zip","2624280.59151718","3573"
"01109","tl_2014_01109_roads.zip","2857075.54157986","6580"
"01111","tl_2014_01111_roads.zip","2398070.31228431","4125"
"01113","tl_2014_01113_roads.zip","2157963.07966853","5084"
"01115","tl_2014_01115_roads.zip","3028848.86264238","8945"
"01117","tl_2014_01117_roads.zip","4854210.89127249","13274"
"01119","tl_2014_01119_roads.zip","1771601.6263507","2187"
"01121","tl_2014_01121_roads.zip","4374663.00868864","11184"
"01123","tl_2014_01123_roads.zip","2980626.96219801","6824"
"01125","tl_2014_01125_roads.zip","6127134.4455791","18201"
"01127","tl_2014_01127_roads.zip","3490874.46255598","9101"
"01129","tl_2014_01129_roads.zip","2945476.07624982","5188"
"01131","tl_2014_01131_roads.zip","1561254.76919381","2142"
"01133","tl_2014_01133_roads.zip","2389990.86572254","4642"
"02013","tl_2014_02013_roads.zip","187915.397188307","503"
"02016","tl_2014_02016_roads.zip","569936.406422703","769"
"02020","tl_2014_02020_roads.zip","2778748.5241676","12603"
"02050","tl_2014_02050_roads.zip","1161768.739976","2600"
"02060","tl_2014_02060_roads.zip","180480.860201081","389"
"02068","tl_2014_02068_roads.zip","1039733.71585967","1860"
"02070","tl_2014_02070_roads.zip","343842.035471339","735"
"02090","tl_2014_02090_roads.zip","3668926.72580184","8659"
"02100","tl_2014_02100_roads.zip","169735.83709958","541"
"02105","tl_2014_02105_roads.zip","446322.328892683","536"
"02110","tl_2014_02110_roads.zip","436835.627006174","1207"
"02122","tl_2014_02122_roads.zip","4331809.70277904","12165"
"02130","tl_2014_02130_roads.zip","240629.6316685","799"
"02150","tl_2014_02150_roads.zip","514200.638112172","1297"
"02164","tl_2014_02164_roads.zip","594573.665761089","681"
"02170","tl_2014_02170_roads.zip","6260675.41446346","16769"
"02180","tl_2014_02180_roads.zip","2622033.28387822","1560"
"02185","tl_2014_02185_roads.zip","728996.225549756","808"
"02188","tl_2014_02188_roads.zip","638718.404000774","706"
"02195","tl_2014_02195_roads.zip","483215.516282703","433"
"02198","tl_2014_02198_roads.zip","1219096.4258926","1981"
"02220","tl_2014_02220_roads.zip","255119.969307774","1244"
"02230","tl_2014_02230_roads.zip","56007.5936483108","314"
"02240","tl_2014_02240_roads.zip","1226001.48617457","1486"
"02261","tl_2014_02261_roads.zip","1581117.35697548","1404"
"02270","tl_2014_02270_roads.zip","239213.447447667","775"
"02275","tl_2014_02275_roads.zip","218158.560952613","330"
"02282","tl_2014_02282_roads.zip","320958.274463143","247"
"02290","tl_2014_02290_roads.zip","4549258.32428929","2478"
"04001","tl_2014_04001_roads.zip","34586369.9453505","95107"
"04003","tl_2014_04003_roads.zip","14145800.7116193","28441"
"04005","tl_2014_04005_roads.zip","38577245.8776236","82240"
"04007","tl_2014_04007_roads.zip","7059321.85673689","17846"
"04009","tl_2014_04009_roads.zip","6186405.17000406","10930"
"04011","tl_2014_04011_roads.zip","1571694.76483386","2764"
"04012","tl_2014_04012_roads.zip","5671505.97281335","11554"
"04013","tl_2014_04013_roads.zip","44011585.8810589","190759"
"04015","tl_2014_04015_roads.zip","25757999.9962071","61249"
"04017","tl_2014_04017_roads.zip","26501852.2356635","77145"
"04019","tl_2014_04019_roads.zip","23470316.1666704","66785"
"04021","tl_2014_04021_roads.zip","16970463.6195681","54626"
"04023","tl_2014_04023_roads.zip","3487542.68535233","10345"
"04025","tl_2014_04025_roads.zip","17677122.3434149","47747"
"04027","tl_2014_04027_roads.zip","8480127.4588116","25107"
"05001","tl_2014_05001_roads.zip","2882362.45396166","5134"
"05003","tl_2014_05003_roads.zip","3270169.13463167","4744"
"05005","tl_2014_05005_roads.zip","2759432.20399247","9328"
"05007","tl_2014_05007_roads.zip","7756953.07724256","24808"
"05009","tl_2014_05009_roads.zip","2386291.5360128","4838"
"05011","tl_2014_05011_roads.zip","2549031.37776472","3293"
"05013","tl_2014_05013_roads.zip","2267922.01552607","3890"
"05015","tl_2014_05015_roads.zip","2448724.6871277","4579"
"05017","tl_2014_05017_roads.zip","2357319.11107628","3682"
"05019","tl_2014_05019_roads.zip","3704666.04072146","6690"
"05021","tl_2014_05021_roads.zip","1839979.55617936","2976"
"05023","tl_2014_05023_roads.zip","2053613.95318063","4344"
"05025","tl_2014_05025_roads.zip","1348707.74544296","1777"
"05027","tl_2014_05027_roads.zip","1889507.5644793","2798"
"05029","tl_2014_05029_roads.zip","2114415.38166276","3379"
"05031","tl_2014_05031_roads.zip","4852751.48832659","10689"
"05033","tl_2014_05033_roads.zip","2324981.71810603","4826"
"05035","tl_2014_05035_roads.zip","2345931.43128941","4597"
"05037","tl_2014_05037_roads.zip","2056553.57621253","3579"
"05039","tl_2014_05039_roads.zip","1672129.89944854","2430"
"05041","tl_2014_05041_roads.zip","1848583.691703","3131"
"05043","tl_2014_05043_roads.zip","3346379.8133572","6040"
"05045","tl_2014_05045_roads.zip","2805764.69987356","6707"
