fips,county_zip_file_name,roads_length,intersections
29101,tl_2014_29101_roads.zip,3608673.885,7903
29103,tl_2014_29103_roads.zip,1359146.479,1770
29105,tl_2014_29105_roads.zip,3193354.141,6031
29107,tl_2014_29107_roads.zip,2464701.859,4867
29109,tl_2014_29109_roads.zip,3996893.991,8304
29111,tl_2014_29111_roads.zip,2122621.013,4441
29113,tl_2014_29113_roads.zip,3650611.069,8739
29115,tl_2014_29115_roads.zip,1887327.946,2616
29117,tl_2014_29117_roads.zip,1885482.091,3085
29119,tl_2014_29119_roads.zip,2787125.349,6443
29121,tl_2014_29121_roads.zip,2390038.686,3113
29123,tl_2014_29123_roads.zip,1719631.754,4048
29125,tl_2014_29125_roads.zip,1967168.829,3160
29127,tl_2014_29127_roads.zip,1640004.46,3851
29129,tl_2014_29129_roads.zip,851895.0047,1017
29131,tl_2014_29131_roads.zip,3228451.89,8167
29133,tl_2014_29133_roads.zip,1490794.336,2471
29135,tl_2014_29135_roads.zip,1353298.763,1790
29137,tl_2014_29137_roads.zip,2562449.805,5568
29139,tl_2014_29139_roads.zip,2232598.075,3932
29141,tl_2014_29141_roads.zip,2825900.218,7303
29143,tl_2014_29143_roads.zip,2060147.471,3323
29145,tl_2014_29145_roads.zip,3476067.959,7969
29147,tl_2014_29147_roads.zip,3042451.865,5743
29149,tl_2014_29149_roads.zip,1899995.209,2355
29151,tl_2014_29151_roads.zip,1783000.067,3295
29153,tl_2014_29153_roads.zip,2236415.629,3400
29155,tl_2014_29155_roads.zip,1843480.777,3144
29157,tl_2014_29157_roads.zip,2026353.659,3961
29159,tl_2014_29159_roads.zip,2792041.523,6628
29161,tl_2014_29161_roads.zip,4571674.457,13651
29163,tl_2014_29163_roads.zip,3796536.852,8562
29165,tl_2014_29165_roads.zip,2451341.489,11946
29167,tl_2014_29167_roads.zip,2467709.67,5592
29169,tl_2014_29169_roads.zip,2763739.135,8451
29171,tl_2014_29171_roads.zip,1469757.036,2722
29173,tl_2014_29173_roads.zip,1559984.31,2908
29175,tl_2014_29175_roads.zip,2684075.366,8971
29177,tl_2014_29177_roads.zip,2562857.859,4193
29179,tl_2014_29179_roads.zip,2250455.581,3454
29181,tl_2014_29181_roads.zip,1957865,3661
29183,tl_2014_29183_roads.zip,5350502.601,28337
29185,tl_2014_29185_roads.zip,2837589.979,4822
29186,tl_2014_29186_roads.zip,1600994.214,2719
29187,tl_2014_29187_roads.zip,2482722.373,8067
29189,tl_2014_29189_roads.zip,8585582.644,39350
29195,tl_2014_29195_roads.zip,3987810.09,8379
29197,tl_2014_29197_roads.zip,964253.2651,1538
29199,tl_2014_29199_roads.zip,1261504.983,1656
29201,tl_2014_29201_roads.zip,2078066.842,6895
29203,tl_2014_29203_roads.zip,2771530.539,4150
29205,tl_2014_29205_roads.zip,2198532.65,4655
29207,tl_2014_29207_roads.zip,3188255.867,6337
29209,tl_2014_29209_roads.zip,3822814.52,18935
29211,tl_2014_29211_roads.zip,1809187.192,3894
29213,tl_2014_29213_roads.zip,2438690.388,6476
29215,tl_2014_29215_roads.zip,5662175.54,14830
29217,tl_2014_29217_roads.zip,3534632.703,9499
29219,tl_2014_29219_roads.zip,1977510.409,5268
29221,tl_2014_29221_roads.zip,3791019.35,10804
29223,tl_2014_29223_roads.zip,1999370.878,3263
29225,tl_2014_29225_roads.zip,3453791.317,12865
29227,tl_2014_29227_roads.zip,872499.8661,1202
29229,tl_2014_29229_roads.zip,3201578.035,5987
29510,tl_2014_29510_roads.zip,2455180.818,16605
30001,tl_2014_30001_roads.zip,7766521.319,7515
30003,tl_2014_30003_roads.zip,7892995.424,10628
30005,tl_2014_30005_roads.zip,6517481.605,6833
30007,tl_2014_30007_roads.zip,2866925.47,3659
30009,tl_2014_30009_roads.zip,2571478.153,4370
30011,tl_2014_30011_roads.zip,1976637.681,1138
30013,tl_2014_30013_roads.zip,4741172.955,7076
30015,tl_2014_30015_roads.zip,4797137.559,4292
30017,tl_2014_30017_roads.zip,4018345.789,4786
30019,tl_2014_30019_roads.zip,1507439.758,902
30021,tl_2014_30021_roads.zip,2123331.595,1391
30023,tl_2014_30023_roads.zip,1210813.563,1501
30025,tl_2014_30025_roads.zip,2527335.652,2435
30027,tl_2014_30027_roads.zip,3481163.476,3206
30029,tl_2014_30029_roads.zip,11347220.79,15708
30031,tl_2014_30031_roads.zip,4380395.501,7734
30033,tl_2014_30033_roads.zip,3111224.497,2527
30035,tl_2014_30035_roads.zip,4940318.625,5863
30037,tl_2014_30037_roads.zip,2385480.31,2580
30039,tl_2014_30039_roads.zip,3021248.623,3333
30041,tl_2014_30041_roads.zip,6827427.69,9318
30043,tl_2014_30043_roads.zip,2988778.93,4290
30045,tl_2014_30045_roads.zip,3307075.936,3579
30047,tl_2014_30047_roads.zip,4673247.003,10606
30049,tl_2014_30049_roads.zip,4147127.675,5982
30051,tl_2014_30051_roads.zip,3076109.559,3421
30053,tl_2014_30053_roads.zip,12750611.1,13233
30055,tl_2014_30055_roads.zip,1686550.726,854
30057,tl_2014_30057_roads.zip,5430005.015,6221
30059,tl_2014_30059_roads.zip,2900434.696,2762
30061,tl_2014_30061_roads.zip,3476958.237,3635
30063,tl_2014_30063_roads.zip,7384974.823,11250
30065,tl_2014_30065_roads.zip,3335510.185,3538
30067,tl_2014_30067_roads.zip,2861089.49,3883
30069,tl_2014_30069_roads.zip,765433.138,428
30071,tl_2014_30071_roads.zip,5793052.295,5914
30073,tl_2014_30073_roads.zip,2540691.094,2745
30075,tl_2014_30075_roads.zip,3405833.671,2842
30077,tl_2014_30077_roads.zip,2072909.627,1971
30079,tl_2014_30079_roads.zip,995719.7773,563
30081,tl_2014_30081_roads.zip,5510531.375,5981
30083,tl_2014_30083_roads.zip,2464682.613,2500
30085,tl_2014_30085_roads.zip,3067530.64,3268
30087,tl_2014_30087_roads.zip,5642911.126,6691
30089,tl_2014_30089_roads.zip,6257521.038,8346
30091,tl_2014_30091_roads.zip,2850339.278,2306
30093,tl_2014_30093_roads.zip,2707303.974,7406
30095,tl_2014_30095_roads.zip,3124693.906,3564
30097,tl_2014_30097_roads.zip,2194003.875,2349
30099,tl_2014_30099_roads.zip,3875890.098,3379
30101,tl_2014_30101_roads.zip,2611324.778,2656
30103,tl_2014_30103_roads.zip,741805.1664,449
30105,tl_2014_30105_roads.zip,5773883.672,5861
30107,tl_2014_30107_roads.zip,2601059.29,3221
30109,tl_2014_30109_roads.zip,850194.8581,515
30111,tl_2014_30111_roads.zip,5567561.565,10655
31001,tl_2014_31001_roads.zip,4105540.917,6707
31003,tl_2014_31003_roads.zip,2515478.865,2644
31005,tl_2014_31005_roads.zip,490923.0007,261
31007,tl_2014_31007_roads.zip,1397923.533,1526
31009,tl_2014_31009_roads.zip,682450.8261,816
31011,tl_2014_31011_roads.zip,1975326.209,2848
31013,tl_2014_31013_roads.zip,1982528.061,2967
31015,tl_2014_31015_roads.zip,1182206.284,2171
31017,tl_2014_31017_roads.zip,1077763.236,1391
31019,tl_2014_31019_roads.zip,3767662.645,8588
31021,tl_2014_31021_roads.zip,1568119.236,1992
31023,tl_2014_31023_roads.zip,3357551.616,3906
31025,tl_2014_31025_roads.zip,2256857.363,4607
31027,tl_2014_31027_roads.zip,2353710.611,3175
31029,tl_2014_31029_roads.zip,1760526.557,2246
31031,tl_2014_31031_roads.zip,3855224.658,4311
31033,tl_2014_31033_roads.zip,3068290.521,4153
31035,tl_2014_31035_roads.zip,2645766.109,4296
31037,tl_2014_31037_roads.zip,1871410.084,2295
31039,tl_2014_31039_roads.zip,2113671.943,2413
31041,tl_2014_31041_roads.zip,5019423.193,8116
31043,tl_2014_31043_roads.zip,925463.5049,2046
31045,tl_2014_31045_roads.zip,2440191.023,3710
31047,tl_2014_31047_roads.zip,3300768.852,6372
31049,tl_2014_31049_roads.zip,1110510.171,1252
31051,tl_2014_31051_roads.zip,1655551.672,2591
31053,tl_2014_31053_roads.zip,2430030.415,4752
31055,tl_2014_31055_roads.zip,5033581.825,22833
31057,tl_2014_31057_roads.zip,1501976.721,1867
31059,tl_2014_31059_roads.zip,2066212.216,2980
31061,tl_2014_31061_roads.zip,1662702.758,2413
31063,tl_2014_31063_roads.zip,1968620.453,2547
31065,tl_2014_31065_roads.zip,2170078.209,3535
31067,tl_2014_31067_roads.zip,3514770.933,4453
31069,tl_2014_31069_roads.zip,1775286.948,1642
31071,tl_2014_31071_roads.zip,644316.9905,902
31073,tl_2014_31073_roads.zip,1334543.857,1427
31075,tl_2014_31075_roads.zip,561742.2471,414
