,zip,cbp_total_employees,cbp_total_establishments
0,501,41,3
1,1001,9559,473
2,1002,8410,543
3,1003,247,17
4,1004,203,13
5,1005,1060,91
6,1007,1794,225
7,1008,215,20
8,1009,131,16
9,1010,422,83
10,1011,29,12
11,1012,56,9
12,1013,5342,313
13,1020,8998,545
14,1021,202,6
15,1022,2377,63
16,1026,344,20
17,1027,4007,423
18,1028,8697,519
19,1029,202,17
20,1030,1087,221
21,1031,74,20
22,1032,116,25
23,1033,802,130
24,1034,102,30
25,1035,5495,311
26,1036,962,116
27,1037,271,17
28,1038,1437,63
29,1039,295,33
30,1040,17314,852
31,1041,955,24
32,1050,198,31
33,1053,1692,30
34,1054,73,34
35,1056,4548,414
36,1057,796,138
37,1059,68,7
38,1060,11955,731
39,1061,100,19
40,1062,1779,206
41,1063,3111,3
42,1066,75,8
43,1068,68,30
44,1069,3388,249
45,1070,26,10
46,1071,77,19
47,1072,70,22
48,1073,1158,130
49,1074,55,8
50,1075,4783,312
51,1077,2172,216
52,1079,54,12
53,1080,386,43
54,1081,91,18
55,1082,1975,171
56,1083,228,37
57,1084,27,4
58,1085,13840,859
59,1086,811,15
60,1088,302,30
61,1089,15650,952
62,1090,111,21
63,1092,79,16
64,1093,690,33
65,1095,3953,289
66,1096,366,51
67,1098,114,19
68,1101,179,13
69,1102,2834,17
70,1103,8144,425
71,1104,15983,508
72,1105,6582,271
73,1106,3762,274
74,1107,2506,148
75,1108,2269,251
76,1109,7724,291
77,1111,3432,7
78,1115,794,40
79,1118,1391,132
80,1119,3868,145
81,1128,854,46
82,1129,1936,150
83,1138,18,4
84,1144,1320,49
85,1151,2170,137
86,1199,6920,6
87,1201,23386,1250
88,1202,330,26
89,1220,1467,155
90,1222,44,15
91,1223,247,44
92,1224,15,4
93,1225,380,51
94,1226,1331,118
95,1227,40,6
96,1229,10,4
97,1230,4729,411
98,1235,129,44
99,1236,405,45
100,1237,1450,101
101,1238,2861,267
102,1240,3478,250
103,1242,124,13
104,1243,35,7
105,1244,70,4
106,1245,117,18
107,1247,4121,320
108,1252,4,6
109,1253,129,31
110,1254,75,25
111,1255,114,22
112,1256,23,8
113,1257,1089,118
114,1258,406,30
115,1259,125,26
116,1260,534,11
117,1262,1480,82
118,1266,120,46
119,1267,3414,199
120,1270,30,10
121,1301,8351,556
122,1302,218,14
123,1330,110,27
124,1331,3231,209
125,1337,454,49
126,1338,104,13
127,1339,290,27
128,1340,127,19
129,1341,114,22
130,1342,846,31
131,1344,317,22
132,1346,8,7
133,1349,43,9
134,1351,101,31
135,1354,337,19
136,1355,101,15
137,1360,762,45
138,1364,1155,130
139,1366,54,28
140,1367,77,7
141,1368,21,6
142,1370,624,122
143,1373,3075,143
144,1375,690,47
145,1376,1575,103
146,1378,6,5
147,1379,24,11
148,1420,11171,748
149,1430,567,87
150,1431,196,58
151,1432,3967,233
152,1434,3530,78
153,1436,506,29
154,1438,222,20
155,1440,6814,409
156,1441,758,10
157,1450,1877,223
158,1451,813,147
159,1452,288,53
160,1453,19113,1155
161,1460,8178,324
162,1462,2107,218
163,1463,1321,217
164,1464,1360,124
165,1467,29,7
166,1468,300,57
167,1469,1425,130
168,1471,344,3
169,1472,180,8
170,1473,1438,178
171,1474,95,27
172,1475,1131,135
173,1501,11215,617
174,1503,482,103
175,1504,794,136
176,1505,1228,129
177,1506,189,44
178,1507,2981,263
179,1508,320,25
180,1509,10,5
181,1510,3702,257
182,1515,365,47
183,1516,660,126
184,1518,710,74
185,1519,1418,105
186,1520,3031,276
187,1521,70,23
188,1522,109,34
189,1523,2381,135
190,1524,1356,116
191,1525,162,20
192,1526,39,12
193,1527,4151,329
194,1529,121,35
195,1531,39,16
196,1532,8261,534
197,1534,873,72
198,1535,841,85
199,1536,2118,160
200,1537,902,76
201,1538,90,12
202,1540,4835,227
203,1541,959,72
204,1542,544,37
205,1543,1162,127
206,1545,13027,824
207,1550,5064,322
208,1560,315,60
209,1561,418,20
210,1562,2563,205
211,1564,2456,202
212,1566,3538,246
213,1568,729,158
214,1569,3494,283
215,1570,7271,367
216,1571,2750,167
217,1581,29017,985
218,1583,3934,242
219,1585,779,82
220,1588,3255,234
221,1590,2429,186
222,1601,523,9
223,1602,2817,318
224,1603,6792,404
225,1604,9546,726
226,1605,23203,596
227,1606,9214,442
228,1607,3639,139
229,1608,15401,512
230,1609,11138,540
231,1610,9673,346
232,1611,306,33
233,1612,848,75
234,1613,186,17
235,1615,759,10
236,1653,1985,5
237,1655,118,8
238,1701,25881,1207
239,1702,13277,938
240,1703,9,4
241,1704,17,5
242,1705,7,5
243,1719,4245,141
244,1720,8724,716
245,1721,4646,398
246,1730,19665,544
247,1731,226,26
248,1740,1115,130
249,1741,597,115
250,1742,11033,800
251,1745,126,15
252,1746,5299,394
253,1747,2174,170
254,1748,14948,474
255,1749,8628,544
256,1752,38246,1528
257,1754,2800,275
258,1756,1200,152
259,1757,17168,903
260,1760,21954,1322
261,1770,570,102
262,1772,8564,360
263,1773,1524,140
264,1775,1135,155
265,1776,5503,546
266,1778,3543,363
267,1784,36,3
268,1801,45798,2122
269,1803,42772,1521
270,1805,4974,12
271,1810,31660,1041
272,1821,16267,714
273,1824,20588,847
274,1826,5443,566
275,1827,168,55
276,1830,6784,505
277,1831,167,16
278,1832,4982,313
279,1833,1935,205
280,1834,1032,128
281,1835,5840,300
282,1840,4965,360
283,1841,6133,454
284,1842,200,18
285,1843,12028,516
286,1844,16224,937
287,1845,17816,929
288,1850,1508,114
289,1851,12768,512
290,1852,10456,753
291,1853,353,16
292,1854,7347,308
293,1860,746,90
294,1862,9745,406
295,1863,3137,229
296,1864,8546,533
297,1865,2,3
298,1866,502,5
299,1867,7268,539
300,1876,15855,724
301,1879,3923,310
302,1880,15259,933
303,1885,20,8
304,1886,11040,644
305,1887,22828,865
306,1888,235,14
307,1890,7424,572
308,1901,6457,309
309,1902,3889,517
310,1903,56,7
311,1904,2805,322
312,1905,4440,398
313,1906,10470,800
314,1907,2827,324
315,1908,265,44
316,1910,2889,18
317,1913,4415,453
318,1915,22860,1273
319,1921,801,152
320,1922,673,64
321,1923,33700,1132
322,1929,1126,150
323,1930,9751,887
324,1931,84,10
325,1936,81,11
326,1937,52,5
327,1938,5172,390
328,1940,5526,407
329,1944,1327,186
330,1945,4234,573
331,1949,4100,347
332,1950,10937,765
333,1951,536,81
334,1952,2947,287
335,1960,22801,1476
336,1961,296,12
337,1965,457,8
338,1966,556,182
339,1969,3217,225
340,1970,16015,1198
341,1982,944,142
342,1983,1916,226
343,1984,1628,80
344,1985,550,79
345,2018,23,4
346,2019,6805,435
347,2020,241,11
348,2021,22621,964
349,2025,2574,285
350,2026,14526,940
351,2027,541,15
352,2030,460,120
353,2032,2139,120
354,2035,14502,643
355,2038,14856,851
356,2041,21,7
357,2043,18943,890
358,2045,1076,169
359,2048,11111,610
360,2050,4799,541
361,2051,51,9
362,2052,2558,325
363,2053,3026,323
364,2054,1643,203
365,2056,2285,243
366,2060,99,7
367,2061,10645,619
368,2062,25675,1266
369,2065,12,4
370,2066,2800,373
371,2067,2789,374
372,2070,29,5
373,2071,103,17
374,2072,12702,935
375,2081,7020,619
376,2090,15331,515
377,2093,5916,438
378,2108,21749,1125
379,2109,37776,1398
380,2110,61741,1914
381,2111,35413,1069
382,2112,95,8
383,2113,2261,186
384,2114,44312,724
385,2115,65942,646
386,2116,69423,2096
387,2117,2618,14
388,2118,21931,926
389,2119,7598,438
390,2120,4122,177
391,2121,1944,213
392,2122,8227,551
393,2123,123,4
394,2124,6533,559
395,2125,11017,488
396,2126,2059,233
397,2127,11276,688
398,2128,25532,851
399,2129,13220,536
400,2130,14811,672
401,2131,5841,451
402,2132,6134,526
403,2133,45,9
404,2134,9324,556
405,2135,15007,673
406,2136,5375,450
407,2137,94,8
408,2138,50403,1150
409,2139,53397,1221
410,2140,9728,514
411,2141,13088,417
412,2142,27213,604
413,2143,11661,659
414,2144,5177,444
415,2145,6566,457
416,2148,13047,1052
417,2149,11405,811
418,2150,12970,739
419,2151,7931,861
420,2152,1515,270
421,2153,212,8
422,2155,19868,1142
423,2156,38,3
424,2163,542,38
425,2169,27017,1554
426,2170,1703,273
427,2171,12457,405
428,2176,5103,529
429,2180,6895,608
430,2184,29996,1564
431,2185,297,13
432,2186,5332,465
433,2187,17,3
434,2188,3846,289
435,2189,8338,412
436,2190,8589,401
437,2191,1146,135
438,2196,36,7
439,2199,20126,303
440,2201,32,3
441,2203,36,7
442,2205,115,13
443,2210,54803,1102
444,2215,56614,541
445,2222,23,8
446,2238,2068,20
447,2269,1438,16
448,2283,66,4
449,2301,25767,1395
450,2302,7550,420
451,2303,728,10
452,2322,5289,231
453,2324,6369,512
454,2327,36,8
455,2330,1579,201
456,2331,136,31
457,2332,2396,333
458,2333,2279,267
459,2334,231,25
460,2338,1004,115
461,2339,8125,641
462,2341,1435,194
463,2343,2669,273
464,2345,333,18
465,2346,7147,563
466,2347,3180,299
467,2351,3839,353
468,2355,22,6
469,2356,3102,276
470,2357,1458,7
471,2358,50,6
472,2359,6497,537
473,2360,24642,1617
474,2361,111,8
475,2362,99,9
476,2364,5094,400
477,2366,60,8
478,2367,1454,67
479,2368,8559,641
480,2370,7066,495
481,2375,6885,399
482,2379,7639,379
483,2382,2072,256
484,2420,5017,506
485,2421,15186,567
486,2445,4753,484
487,2446,7539,742
488,2447,32,8
489,2451,52825,1300
490,2452,8830,457
491,2453,16984,839
492,2454,1353,38
493,2455,34,6
494,2456,6,3
495,2457,2157,18
496,2458,8528,520
497,2459,10346,724
498,2460,2465,254
499,2461,2443,245
500,2462,5723,111
501,2464,4578,256
502,2465,2855,325
503,2466,9483,265
504,2467,15784,500
505,2468,317,85
506,2471,683,14
507,2472,23214,990
508,2474,4021,468
509,2476,3695,405
510,2478,7484,605
511,2481,13349,742
512,2482,4520,418
513,2492,6845,539
514,2493,4224,339
515,2494,15799,701
516,2532,3535,311
517,2534,449,69
518,2535,170,58
519,2536,2859,404
520,2537,1210,118
521,2538,1249,114
522,2539,1533,335
523,2540,5414,482
524,2541,76,17
525,2542,25,9
526,2543,1568,51
527,2552,10,5
528,2553,89,22
529,2554,4739,1049
530,2556,822,105
531,2557,1332,245
532,2558,212,44
533,2559,1290,127
534,2561,256,37
535,2562,756,82
536,2563,3336,399
537,2564,48,17
538,2568,2116,386
539,2571,5911,312
540,2574,107,25
541,2575,543,95
542,2576,1124,94
543,2584,220,61
544,2601,19923,1218
545,2630,419,91
546,2631,2185,307
547,2632,1698,285
548,2633,1502,245
549,2635,394,99
550,2637,52,8
551,2638,523,94
552,2639,547,116
553,2641,219,38
554,2642,422,118
555,2643,78,21
556,2644,462,87
557,2645,2094,265
558,2646,742,110
559,2647,32,11
560,2648,1209,193
561,2649,3817,474
562,2650,455,40
563,2651,368,59
564,2652,275,70
565,2653,3102,407
566,2655,1464,203
567,2657,1541,369
568,2659,161,39
569,2660,2358,228
570,2661,132,14
571,2662,54,13
572,2663,80,20
573,2664,3481,344
574,2666,123,42
575,2667,561,135
576,2668,535,108
577,2669,185,32
578,2670,269,57
579,2671,234,54
580,2672,23,10
581,2673,2113,239
582,2675,1478,172
583,2702,2347,115
584,2703,16721,969
585,2712,136,4
586,2713,22,8
587,2714,195,3
588,2715,316,77
589,2717,1099,99
590,2718,1708,102
591,2719,7029,392
592,2720,19438,758
593,2721,8859,614
594,2722,613,51
595,2723,2926,254
596,2724,2832,224
597,2725,1367,62
598,2726,2522,271
599,2738,2134,153
600,2739,1546,197
601,2740,13725,934
602,2741,97,12
603,2742,190,7
604,2743,2393,192
605,2744,1683,172
606,2745,8208,489
607,2746,4595,305
608,2747,11222,686
609,2748,1842,220
610,2760,8536,694
611,2761,84,14
612,2762,4164,344
613,2763,2769,119
614,2764,844,82
615,2766,6589,365
616,2767,10687,539
617,2768,81,7
618,2769,1281,278
619,2770,405,97
620,2771,7574,543
621,2777,4613,427
622,2779,478,97
623,2780,22063,1061
624,2790,3053,406
625,2791,29,6
626,2801,7,4
627,2802,54,9
628,2804,610,78
629,2806,3834,351
630,2807,376,186
631,2808,87,25
632,2809,7157,554
633,2812,31,19
634,2813,927,183
635,2814,964,145
636,2815,12,5
637,2816,6583,559
638,2817,2473,166
639,2818,8571,701
640,2822,1484,155
641,2824,133,7
642,2825,280,88
643,2826,167,12
644,2827,157,33
645,2828,2638,208
646,2829,86,11
647,2830,764,112
648,2831,218,64
649,2832,483,73
650,2833,29,9
651,2835,817,155
652,2836,70,3
653,2837,468,109
654,2838,290,44
655,2839,145,20
656,2840,13100,1049
657,2841,427,31
658,2842,10277,616
659,2852,15384,774
660,2857,930,193
661,2858,21,9
662,2859,1630,95
663,2860,13342,1010
664,2861,5443,448
665,2862,2088,11
666,2863,2225,261
667,2864,11522,729
668,2865,14226,601
669,2871,4732,439
670,2872,24,9
671,2873,15,8
672,2874,353,102
673,2875,25,6
674,2876,474,39
675,2878,2982,342
676,2879,7168,646
677,2880,46,11
678,2881,761,94
679,2882,3514,390
680,2883,262,18
681,2885,3246,361
682,2886,34732,1634
683,2887,93,10
684,2888,7985,664
685,2889,3616,408
686,2891,7875,750
687,2892,2850,114
688,2893,7001,523
689,2894,99,12
690,2895,14219,739
691,2896,3928,318
692,2898,891,84
693,2901,49,14
694,2902,670,8
695,2903,46150,1588
696,2904,12858,765
697,2905,10919,540
698,2906,11316,742
699,2907,6869,569
700,2908,12665,576
701,2909,6699,706
702,2910,8127,596
703,2911,2004,224
704,2912,8361,12
705,2914,11249,736
706,2915,6703,341
707,2916,3674,208
708,2917,12158,566
709,2918,2625,20
710,2919,15490,1047
711,2920,18855,1234
712,2921,4366,292
713,2940,210,63
714,3031,4444,417
715,3032,1994,147
716,3033,685,83
717,3034,731,86
718,3036,275,65
719,3037,467,87
720,3038,8615,677
721,3041,31,4
722,3042,3221,220
723,3043,107,20
724,3044,364,53
725,3045,2470,275
726,3046,218,41
727,3047,781,34
728,3048,454,64
729,3049,1425,160
730,3051,10568,632
731,3052,546,82
732,3053,14575,735
733,3054,17403,759
734,3055,6370,390
735,3057,144,28
736,3060,23590,1284
737,3061,2195,22
738,3062,9475,440
739,3063,11948,622
740,3064,3982,256
741,3070,614,107
742,3071,877,117
743,3073,24,6
744,3076,2276,297
745,3077,2923,190
746,3079,23486,1295
747,3082,78,24
748,3084,127,23
749,3086,1450,102
750,3087,3595,374
751,3101,17681,806
752,3102,9924,414
753,3103,25460,1075
754,3104,8057,539
755,3105,528,22
756,3106,10071,490
757,3108,771,22
758,3109,5463,304
759,3110,14812,970
760,3111,6,3
761,3215,610,28
762,3216,457,39
763,3217,582,70
764,3218,45,16
765,3220,1671,172
766,3221,331,51
767,3222,1301,147
768,3223,493,93
769,3224,170,45
770,3225,195,45
771,3226,270,35
772,3227,155,30
773,3229,1558,120
774,3230,128,19
775,3231,29,4
776,3233,31,6
777,3234,1212,101
778,3235,1951,166
779,3237,106,27
780,3240,21,8
781,3241,105,26
782,3242,1889,130
783,3243,7,5
784,3244,1729,136
785,3245,501,65
786,3246,8349,554
787,3247,158,26
788,3249,2539,240
789,3251,2131,140
790,3252,17,5
791,3253,2560,253
792,3254,1087,169
793,3255,711,31
794,3256,444,38
795,3257,2418,196
796,3258,447,74
797,3259,55,10
798,3260,200,25
799,3261,919,99
800,3262,364,47
801,3263,1128,98
802,3264,3720,259
803,3266,247,41
804,3268,72,16
805,3269,309,42
806,3273,12,6
807,3275,2176,203
808,3276,5422,294
809,3278,877,65
810,3279,63,18
811,3280,38,14
812,3281,980,143
813,3282,156,16
814,3284,159,28
815,3285,107,24
816,3287,105,30
817,3289,33,6
818,3290,185,38
819,3291,36,7
820,3293,5,3
821,3301,28828,1556
822,3302,1182,41
823,3303,1924,185
824,3304,3221,223
825,3307,486,87
826,3431,16152,856
827,3435,333,10
828,3440,380,48
829,3441,24,4
830,3442,519,23
831,3443,621,13
832,3444,359,48
833,3445,23,5
834,3446,1617,113
835,3447,262,46
836,3448,148,19
837,3449,123,33
838,3450,99,18
839,3451,755,51
840,3452,2572,154
841,3455,347,41
842,3456,40,7
843,3457,25,10
844,3458,4082,297
845,3461,1775,140
846,3462,120,23
847,3464,76,16
848,3465,162,24
849,3466,308,36
850,3467,173,33
851,3468,10,3
852,3469,98,16
853,3470,742,84
854,3561,4621,348
855,3570,1915,169
856,3574,334,50
857,3575,1025,7
858,3576,1051,133
859,3579,124,20
860,3580,633,87
861,3581,1696,121
862,3582,186,39
863,3583,163,25
864,3584,1350,136
865,3585,942,44
866,3586,127,18
867,3588,155,25
868,3590,47,15
869,3592,222,39
870,3593,10,6
871,3595,105,21
872,3597,65,8
873,3598,668,72
874,3601,12,6
875,3602,235,52
876,3603,1757,74
877,3605,79,11
878,3607,32,12
879,3608,1008,111
880,3609,242,16
881,3740,97,10
882,3741,457,53
883,3743,5044,348
884,3745,26,11
885,3746,10,3
886,3748,663,88
887,3749,17,3
888,3750,145,21
889,3751,75,13
890,3752,38,8
891,3753,235,45
892,3754,27,4
893,3755,14208,262
894,3756,5461,11
895,3765,12,7
896,3766,6999,414
897,3768,287,41
898,3769,59,5
899,3770,255,18
900,3771,74,13
901,3773,3255,204
902,3774,406,50
903,3777,118,34
904,3779,29,9
905,3780,138,7
906,3781,165,32
907,3782,307,70
908,3784,4601,295
909,3785,1176,79
910,3801,38239,1952
911,3802,238,26
912,3804,84,5
913,3809,775,95
914,3810,171,33
915,3811,1191,119
916,3812,689,34
917,3813,778,89
918,3814,300,50
919,3816,97,27
920,3817,29,16
921,3818,1818,192
922,3819,156,52
923,3820,16480,878
924,3821,206,24
925,3823,194,27
926,3824,1898,199
927,3825,1824,160
928,3826,683,52
929,3827,317,76
930,3830,81,18
931,3832,27,11
932,3833,12791,707
933,3835,660,113
934,3836,242,25
935,3837,80,21
936,3838,307,41
937,3839,952,87
938,3840,2377,167
939,3841,1584,199
940,3842,4363,509
941,3843,178,16
942,3844,550,81
943,3845,271,45
944,3846,461,42
945,3847,47,6
946,3848,1194,191
947,3849,482,43
948,3850,84,15
949,3851,512,41
950,3852,68,10
951,3853,20,10
952,3854,402,25
953,3855,197,31
954,3856,519,49
955,3857,1317,151
956,3858,368,61
957,3860,5513,380
958,3861,749,76
959,3862,1963,226
960,3864,576,76
961,3865,4388,339
962,3866,77,10
963,3867,8963,489
964,3868,914,80
965,3869,576,59
966,3870,1363,122
967,3871,121,18
968,3872,485,71
969,3873,257,64
970,3874,6037,342
971,3875,50,12
972,3878,5346,295
973,3882,165,18
974,3883,39,3
975,3884,268,51
976,3885,4085,228
977,3886,361,78
978,3887,186,24
979,3890,358,33
980,3894,2420,284
981,3896,165,26
982,3897,5,3
983,3901,514,97
984,3902,501,69
985,3903,1029,138
986,3904,3366,337
987,3905,85,26
988,3906,2665,88
989,3907,932,182
990,3908,884,121
991,3909,3975,372
992,3910,201,41
993,3911,107,17
994,4001,157,39
995,4002,711,145
996,4003,56,21
997,4004,58,8
998,4005,11972,690
999,4006,20,9
1000,4008,148,52
1001,4009,2323,224
1002,4010,91,21
1003,4011,13495,813
1004,4014,10,4
1005,4015,516,76
1006,4016,37,7
1007,4017,66,26
1008,4020,558,62
1009,4021,1064,167
1010,4022,110,25
1011,4024,115,8
1012,4027,421,70
1013,4029,108,34
1014,4030,470,53
1015,4032,4257,381
1016,4033,2334,13
1017,4037,1133,113
1018,4038,5017,435
1019,4039,1784,226
1020,4040,171,65
1021,4041,96,18
1022,4042,783,73
1023,4043,4594,443
1024,4046,1575,304
1025,4047,209,34
1026,4048,397,71
1027,4049,199,48
1028,4050,5,5
1029,4051,132,37
1030,4054,63,7
1031,4055,688,130
1032,4056,16,8
1033,4057,9,7
1034,4061,144,36
1035,4062,5055,571
1036,4063,39,12
1037,4064,947,273
1038,4066,38,20
1039,4068,242,25
1040,4069,79,36
1041,4070,428,40
1042,4071,963,149
1043,4072,7662,644
1044,4073,5941,433
1045,4074,14252,872
1046,4076,141,42
1047,4077,32,9
1048,4078,43,16
1049,4079,290,119
1050,4083,848,100
1051,4084,1709,151
1052,4085,41,18
1053,4086,3389,307
1054,4087,361,50
1055,4088,59,21
1056,4090,2834,363
1057,4091,45,15
1058,4092,14709,633
1059,4093,1058,137
1060,4094,102,10
1061,4095,78,21
1062,4096,3850,371
1063,4097,346,102
1064,4098,190,13
1065,4101,29526,2006
1066,4102,21383,639
1067,4103,15188,1067
1068,4104,1267,52
1069,4105,5531,515
1070,4106,24602,1216
1071,4107,851,182
1072,4108,123,34
1073,4109,35,7
1074,4110,868,37
1075,4112,1212,43
1076,4116,30,7
1077,4122,126,5
1078,4210,15271,838
1079,4211,195,8
1080,4212,360,14
1081,4216,78,19
1082,4217,1100,149
1083,4219,35,14
1084,4220,251,36
1085,4221,174,12
1086,4222,199,72
1087,4224,516,34
1088,4230,7,3
1089,4231,20,6
1090,4234,39,11
1091,4236,347,83
1092,4237,20,5
1093,4238,174,25
1094,4239,1129,82
1095,4240,19728,982
1096,4241,527,22
1097,4243,2164,26
1098,4250,854,68
1099,4252,509,96
1100,4253,184,34
1101,4254,611,60
1102,4255,125,12
1103,4256,541,56
1104,4257,637,63
1105,4258,200,55
1106,4259,225,59
1107,4260,826,142
1108,4261,1134,27
1109,4263,278,36
1110,4265,298,16
1111,4266,36,5
1112,4268,1994,157
1113,4270,1842,144
1114,4271,7,5
1115,4274,1100,102
1116,4275,10,5
1117,4276,2181,133
1118,4280,769,104
1119,4281,1711,148
1120,4282,759,134
1121,4284,79,24
1122,4285,12,8
1123,4287,214,44
1124,4289,142,30
1125,4290,74,16
1126,4292,40,8
1127,4294,1142,82
1128,4330,19897,1000
1129,4332,584,25
1130,4333,89,14
1131,4336,93,4
1132,4338,366,5
1133,4341,78,3
1134,4342,52,23
1135,4343,22,3
1136,4344,883,86
1137,4345,3450,215
1138,4346,220,31
1139,4347,990,128
1140,4348,272,50
1141,4349,186,22
1142,4350,265,49
1143,4351,427,79
1144,4352,111,28
1145,4353,212,33
1146,4354,67,21
1147,4355,169,41
1148,4357,529,62
1149,4358,591,79
1150,4359,60,6
1151,4360,32,13
1152,4363,191,24
1153,4364,1892,165
1154,4401,33822,1794
1155,4402,1594,50
1156,4406,30,13
1157,4408,12,3
1158,4410,82,11
1159,4411,73,30
1160,4412,6108,373
1161,4413,10,3
1162,4414,90,21
1163,4415,13,3
1164,4416,727,120
1165,4417,5,4
1166,4418,113,23
1167,4419,152,47
1168,4420,90,6
1169,4421,166,33
1170,4422,150,20
1171,4424,167,32
1172,4426,2114,158
1173,4427,318,47
1174,4428,260,49
1175,4429,643,105
1176,4430,446,22
1177,4431,13,3
1178,4434,109,16
1179,4435,23,8
1180,4438,64,21
1181,4441,517,88
1182,4442,84,16
1183,4443,1015,48
1184,4444,2003,219
1185,4448,146,21
1186,4449,72,13
1187,4450,66,14
1188,4451,45,4
1189,4453,14,7
1190,4455,120,18
1191,4456,160,40
1192,4457,2083,202
1193,4459,31,8
1194,4460,149,24
1195,4461,270,41
1196,4462,1001,120
1197,4463,454,49
1198,4464,59,15
1199,4468,2051,163
1200,4469,148,12
1201,4471,34,6
1202,4472,257,38
1203,4473,1455,129
1204,4474,334,71
1205,4475,13,5
1206,4476,71,24
1207,4478,104,19
1208,4479,183,16
1209,4481,124,13
1210,4485,13,5
1211,4487,23,12
1212,4488,55,17
1213,4489,308,7
1214,4490,4,3
1215,4493,132,32
1216,4495,58,6
1217,4496,361,62
1218,4497,3,3
1219,4530,8697,351
1220,4535,38,14
1221,4537,531,101
1222,4538,1119,192
1223,4539,127,42
1224,4543,2490,200
1225,4544,238,41
1226,4547,141,53
1227,4548,135,38
1228,4551,110,23
1229,4553,846,88
1230,4554,117,44
1231,4555,275,60
1232,4556,195,52
1233,4558,42,13
1234,4562,119,47
1235,4563,83,30
1236,4564,146,25
1237,4565,7,3
1238,4568,48,17
1239,4571,37,8
1240,4572,775,145
1241,4573,35,19
1242,4574,99,29
1243,4575,11,5
1244,4576,85,29
1245,4578,1013,146
1246,4579,548,73
1247,4605,6715,622
1248,4606,85,26
1249,4607,94,34
1250,4609,4065,378
1251,4611,89,19
1252,4612,40,19
1253,4613,42,13
1254,4614,1221,141
1255,4616,214,31
1256,4617,87,32
1257,4619,1441,119
1258,4622,203,28
1259,4623,235,26
1260,4624,8,7
1261,4625,27,9
1262,4626,34,10
1263,4627,282,75
1264,4628,29,9
1265,4629,9,4
1266,4630,250,29
1267,4631,259,40
1268,4634,125,27
1269,4635,1,3
1270,4640,413,70
1271,4642,28,5
1272,4643,131,28
1273,4644,45,11
1274,4645,16,4
1275,4646,21,19
1276,4648,88,11
1277,4649,202,48
1278,4650,7,5
1279,4652,141,33
1280,4653,28,21
1281,4654,1749,138
1282,4655,244,14
1283,4657,3,3
1284,4658,442,57
1285,4660,194,54
1286,4662,273,72
1287,4664,62,18
1288,4666,57,26
1289,4667,59,16
1290,4668,149,21
1291,4669,78,10
1292,4671,21,3
1293,4673,14,3
1294,4674,53,20
1295,4675,74,24
1296,4676,94,30
1297,4677,41,7
1298,4679,751,145
1299,4680,159,30
1300,4681,393,76
1301,4683,26,5
1302,4684,90,22
1303,4685,30,16
1304,4691,63,9
1305,4693,119,30
1306,4694,880,41
1307,4730,3493,305
1308,4732,443,49
1309,4733,16,7
1310,4734,51,13
1311,4735,29,5
1312,4736,2749,238
1313,4739,230,32
1314,4740,681,19
1315,4742,368,52
1316,4743,1913,217
1317,4744,62,6
1318,4745,163,26
1319,4747,140,33
1320,4750,393,30
1321,4756,1501,97
1322,4757,183,35
1323,4758,837,52
1324,4760,33,14
1325,4761,211,20
1326,4762,20,7
1327,4763,117,9
1328,4765,253,50
1329,4766,14,3
1330,4768,100,12
1331,4769,5990,406
1332,4772,194,19
1333,4773,74,9
1334,4774,94,23
1335,4776,203,29
1336,4777,24,5
1337,4779,31,7
1338,4780,44,6
1339,4781,33,16
1340,4783,13,4
1341,4785,405,47
1342,4786,56,18
1343,4841,5415,416
1344,4843,2068,304
1345,4847,201,41
1346,4848,148,39
1347,4849,423,101
1348,4850,5,3
1349,4851,2,7
1350,4852,12,13
1351,4853,130,42
1352,4854,203,61
1353,4855,60,23
1354,4856,3231,238
1355,4858,208,39
1356,4859,40,21
1357,4860,156,46
1358,4861,1299,104
1359,4862,468,97
1360,4863,232,84
1361,4864,808,118
1362,4865,142,13
1363,4901,14372,730
1364,4903,142,18
1365,4910,154,28
1366,4911,93,20
1367,4912,163,18
1368,4915,5660,397
1369,4917,996,50
1370,4918,57,20
1371,4920,256,35
1372,4921,150,29
1373,4922,148,9
1374,4923,11,7
1375,4924,115,29
1376,4925,20,5
1377,4926,52,10
1378,4927,346,40
1379,4928,172,28
1380,4929,233,17
1381,4930,696,95
1382,4932,18,12
1383,4936,85,15
1384,4937,1477,148
1385,4938,3780,310
1386,4939,47,12
1387,4941,83,33
1388,4942,42,11
1389,4943,309,26
1390,4944,172,10
1391,4945,487,64
1392,4947,1755,81
1393,4949,181,24
1394,4950,679,110
1395,4951,44,17
1396,4952,111,28
1397,4953,1358,131
1398,4955,125,28
1399,4956,131,16
1400,4957,556,63
1401,4958,164,28
1402,4961,21,11
1403,4962,38,10
1404,4963,1891,164
1405,4964,103,26
1406,4965,457,46
1407,4966,165,27
1408,4967,1830,100
1409,4969,109,26
1410,4970,619,105
1411,4971,141,27
1412,4973,199,26
1413,4974,606,69
1414,4975,53,5
1415,4976,4948,323
1416,4978,256,25
1417,4979,187,21
1418,4981,78,25
1419,4982,267,22
1420,4983,184,30
1421,4984,7,5
1422,4985,92,18
1423,4986,97,28
1424,4987,31,5
1425,4988,879,53
1426,4989,205,45
1427,4992,57,8
1428,5001,4952,298
1429,5030,300,29
1430,5031,151,29
1431,5032,665,68
1432,5033,1126,102
