,zip,cbp_total_employees,cbp_total_establishments
5371,16828,1312,115
5372,16829,98,14
5373,16830,5499,429
5374,16832,27,7
5375,16833,916,92
5376,16834,56,7
5377,16835,4,3
5378,16836,56,15
5379,16838,86,28
5380,16839,20,9
5381,16840,12,4
5382,16841,525,72
5383,16843,197,8
5384,16844,51,18
5385,16845,23,10
5386,16847,191,16
5387,16848,109,5
5388,16849,8,5
5389,16851,62,20
5390,16852,39,7
5391,16853,654,32
5392,16854,178,32
5393,16856,10,3
5394,16858,228,64
5395,16859,20,4
5396,16860,8,4
5397,16863,49,9
5398,16865,78,21
5399,16866,3310,266
5400,16868,49,14
5401,16870,983,120
5402,16872,129,25
5403,16874,271,26
5404,16875,586,97
5405,16877,84,22
5406,16878,76,17
5407,16879,27,8
5408,16881,1665,49
5409,16882,42,7
5410,16901,3668,304
5411,16911,33,6
5412,16912,795,34
5413,16914,191,28
5414,16915,3146,188
5415,16917,151,18
5416,16920,409,37
5417,16921,21,7
5418,16922,406,41
5419,16923,201,16
5420,16925,125,28
5421,16926,71,16
5422,16927,87,12
5423,16928,132,22
5424,16929,221,29
5425,16930,259,31
5426,16932,48,7
5427,16933,3178,216
5428,16935,150,19
5429,16936,255,23
5430,16938,104,9
5431,16939,21,4
5432,16940,10,4
5433,16942,58,6
5434,16943,22,5
5435,16946,343,38
5436,16947,1487,148
5437,16948,280,28
5438,16950,726,50
5439,17001,767,15
5440,17002,165,25
5441,17003,3574,227
5442,17004,1485,152
5443,17005,33,11
5444,17006,83,31
5445,17007,482,53
5446,17009,1774,83
5447,17010,114,17
5448,17011,29309,1291
5449,17013,21691,957
5450,17014,53,4
5451,17015,11047,385
5452,17016,393,12
5453,17017,128,23
5454,17018,224,70
5455,17019,4096,341
5456,17020,2076,144
5457,17021,74,15
5458,17022,9489,509
5459,17023,1411,97
5460,17024,306,34
5461,17025,3471,249
5462,17026,2959,64
5463,17027,2261,5
5464,17028,1970,86
5465,17030,907,33
5466,17032,1081,109
5467,17033,25332,548
5468,17034,361,45
5469,17035,10,5
5470,17036,5316,415
5471,17037,105,24
5472,17038,3373,124
5473,17040,184,34
5474,17041,99,7
5475,17042,19091,996
5476,17043,5014,402
5477,17044,9092,468
5478,17045,413,57
5479,17046,5195,378
5480,17047,382,69
5481,17048,515,67
5482,17049,598,57
5483,17050,20876,955
5484,17051,393,60
5485,17052,24,7
5486,17053,460,60
5487,17055,20636,1022
5488,17056,41,3
5489,17057,13100,457
5490,17058,247,22
5491,17059,3512,258
5492,17060,86,17
5493,17061,2465,158
5494,17062,428,71
5495,17063,365,52
5496,17064,113,18
5497,17065,760,58
5498,17066,1313,101
5499,17067,4944,348
5500,17068,455,85
5501,17069,13,4
5502,17070,3987,321
5503,17072,810,17
5504,17073,643,91
5505,17074,976,138
5506,17075,5,3
5507,17076,57,9
5508,17077,15,3
5509,17078,5997,403
5510,17080,21,5
5511,17081,47,10
5512,17082,208,40
5513,17083,70,5
5514,17084,1315,80
5515,17086,302,47
5516,17087,559,52
5517,17088,411,37
5518,17090,302,72
5519,17093,233,10
5520,17094,1111,31
5521,17097,9,5
5522,17098,203,23
5523,17099,218,26
5524,17101,11068,481
5525,17102,3250,252
5526,17103,1834,150
5527,17104,6997,297
5528,17105,1455,22
5529,17106,35,4
5530,17107,17,3
5531,17108,252,8
5532,17109,12175,656
5533,17110,24351,782
5534,17111,20230,944
5535,17112,13884,922
5536,17113,1743,116
5537,17120,57,14
5538,17123,35,3
5539,17201,22191,1056
5540,17202,7194,459
5541,17211,14,3
5542,17213,29,4
5543,17214,318,24
5544,17215,10,3
5545,17219,9,3
5546,17220,33,8
5547,17221,28,10
5548,17222,781,100
5549,17223,62,11
5550,17224,393,26
5551,17225,5741,370
5552,17228,72,16
5553,17229,104,16
5554,17232,16,3
5555,17233,4917,143
